1087209052,JESUS MARTIN,3112101912,jesus.martin@gmail.com,0
1014403390,FRANCISCO JAVIER JIMENEZ,3126559270,francisco javier.jimenez@gmail.com,5
1075721291,CARLOS RUIZ,3151642675,carlos.ruiz@gmail.com,20
1069236593,DANIEL HERNANDEZ,3129397186,daniel.hernandez@gmail.com,5
1079384921,MIGUEL DIAZ,3135733251,miguel.diaz@gmail.com,0
1078925832,RAFAEL MORENO,3146837156,rafael.moreno@gmail.com,0
1078205293,JOSE MANUEL ALVAREZ,3116989466,jose manuel.alvarez@gmail.com,10
1070756751,PEDRO MUÑOZ,3104282071,pedro.muñoz@gmail.com,15
1097758154,ALEJANDRO ROMERO,3158638114,alejandro.romero@gmail.com,10
1072569456,ANGEL ALONSO,3149677928,angel.alonso@gmail.com,20
1032945853,MIGUEL ANGEL GUTIERREZ,3104986658,miguel angel.gutierrez@gmail.com,20
1013502357,JOSE MARIA NAVARRO,3101074134,jose maria.navarro@gmail.com,50
1025449090,FERNANDO MARTINEZ,3100760866,fernando.martinez@gmail.com,10
